,Ville,Nombre de requetes mensuelles totales,Nombre etablissement booking,Score,Latitude,Longitude,geometry
94,noia,5000.0,9,556.0,42.8035213,-8.8715964,POINT (-8.8715964 42.8035213)
95,nois,5000.0,1,5000.0,43.6069881,-7.3229576,POINT (-7.3229576 43.6069881)
96,noja,5050.0,10,505.0,43.4813309,-3.5210066,POINT (-3.5210066 43.4813309)
97,novellana,50.0,2,25.0,43.5633016,-6.2825463,POINT (-6.2825463 43.5633016)
98,o barqueiro,500.0,4,125.0,43.633931,-7.7271999,POINT (-7.7271999 43.633931)
99,o grove,5000.0,34,147.0,42.4693872,-8.8949654,POINT (-8.8949654 42.4693872)
100,o pindo,50.0,6,8.0,42.8895124,-9.1216531,POINT (-9.1216531 42.8895124)
101,o porto de bares,0.0,90,0.0,43.7726007,-7.6696466,POINT (-7.6696466 43.7726007)
102,o porto de espasante,0.0,5,0.0,43.7189198,-7.8064114,POINT (-7.8064114 43.7189198)
103,oia,5500.0,13,423.0,42.0060647,-8.8760521,POINT (-8.8760521 42.0060647)
104,ondarroa,500.0,2,250.0,43.3221481,-2.4221989,POINT (-2.4221989 43.3221481)
105,ontón,0.0,1,0.0,43.35021,-3.17254,POINT (-3.17254 43.35021)
106,ortigueira,5000.0,4,1250.0,43.6843141,-7.8543679,POINT (-7.8543679 43.6843141)
107,os praceres,0.0,1,0.0,42.4043839,-8.6818029,POINT (-8.6818029 42.4043839)
108,oviñana,50.0,2,25.0,43.5767179,-6.2360804,POINT (-6.2360804 43.5767179)
109,pechón,500.0,3,167.0,43.3902731,-4.4892109,POINT (-4.4892109 43.3902731)
110,pedreña,500.0,2,250.0,43.43862,-3.76759,POINT (-3.76759 43.43862)
111,pendueles,50.0,3,17.0,43.3963356,-4.6366767,POINT (-4.6366767 43.3963356)
112,perillo,50.0,4,12.0,43.3324589,-8.373683,POINT (-8.373683 43.3324589)
113,plentzia,500.0,6,83.0,43.4051753,-2.9478553,POINT (-2.9478553 43.4051753)
114,ponteceso,500.0,7,71.0,43.2428181,-8.9005051,POINT (-8.9005051 43.2428181)
115,pontedeume,500.0,19,26.0,43.4072585,-8.1718823,POINT (-8.1718823 43.4072585)
116,pontevedra,5500.0,110,50.0,42.6075172,-8.4714942,POINT (-8.4714942 42.6075172)
117,porto do son,500.0,4,125.0,42.726023,-9.0049123,POINT (-9.0049123 42.726023)
118,portonovo,50000.0,17,2941.0,42.39387,-8.82597,POINT (2.6253361 6.4990718)
119,prellezo,500.0,3,167.0,43.38616,-4.44899,POINT (-4.44899 43.38616)
120,puertas de vidiago,500.0,278,2.0,43.3981275,-4.6863254,POINT (-4.6863254 43.3981275)
121,puerto de vega,500.0,7,71.0,43.564007,-6.6475329,POINT (-6.6475329 43.564007)
122,raxó,500.0,6,83.0,42.408796,-8.7521857,POINT (-8.7521857 42.408796)
123,redondela,5050.0,41,123.0,42.284221,-8.6085992,POINT (-8.6085992 42.284221)
124,ribadesella,5050.0,15,337.0,43.4617129,-5.0587479,POINT (-5.0587479 43.4617129)
125,ribeira,5050.0,8,631.0,42.5805628,-9.013685,POINT (-9.013685 42.5805628)
126,rinlo,50.0,4,12.0,43.5569384,-7.1096948,POINT (-7.1096948 43.5569384)
127,sabaris,500.0,4,125.0,42.4112921,-8.6078142,POINT (-8.6078142 42.4112921)
128,sabarriona,0.0,404,0.0,43.5569736,-5.7247024,POINT (-5.7247024 43.5569736)
129,sada,5000.0,8,625.0,43.351149,-8.252738,POINT (-1.3983063 42.5871778)
130,saint sébastien,5050.0,103,49.0,43.3224219,-1.9838889,POINT (-1.9838889 43.3224219)
131,san cibrao,5000.0,6,833.0,43.693702,-7.437699,POINT (-7.470874 41.8686354)
132,san juan de la arena,500.0,1,500.0,43.5587707,-6.0741475,POINT (-6.0741475 43.5587707)
133,san vicente de la barquera,5050.0,10,505.0,43.38318,-4.40027,POINT (-4.40027 43.38318)
134,san vicente do grove,500.0,3,167.0,42.4670107,-8.9019212,POINT (-8.9019212 42.4670107)
135,santander,55100.0,82,672.0,43.4620412,-3.8099719,POINT (-3.8099719 43.4620412)
136,santo estevo de lires,0.0,307,0.0,42.997215,-9.246705416629474,POINT (-9.246705416629474 42.997215)
137,santoña,5050.0,10,505.0,43.44497425,-3.455931892666148,POINT (-3.4559318926661478 43.44497425)
138,santurtzi,500.0,5,100.0,43.3287527,-3.0318766,POINT (-3.0318766 43.3287527)
139,sanxenxo,50050.0,52,962.0,42.4003559,-8.8065952,POINT (-8.8065952 42.4003559)
140,sismundi,0.0,1,0.0,43.7077962,-7.875588,POINT (-7.875588 43.7077962)
141,sofán,0.0,1,0.0,43.1830575,-8.618357989323936,POINT (-8.618357989323936 43.183057500000004)
142,somo,5050.0,5,1010.0,43.45336,-3.74115,POINT (-2.9521619 42.7841178)
143,sopela,50.0,5,10.0,43.3802735,-2.9838326,POINT (-2.9838326 43.3802735)
144,soto del barco,500.0,4,125.0,43.5263201,-6.052114288680631,POINT (-6.052114288680631 43.5263201)
145,suances,5050.0,25,202.0,43.4260091,-4.041568,POINT (-4.041568 43.4260091)
146,tapia de casariego,5050.0,4,1262.0,43.5692581,-6.9436488,POINT (-6.9436488 43.5692581)
147,viavélez,0.0,1,0.0,43.5629995,-6.8385252,POINT (-6.8385252 43.5629995)
148,vigo,55000.0,197,279.0,42.1964491,-8.7117809,POINT (-8.7117809 42.1964491)
149,vilaboa,50.0,4,12.0,42.3466976,-8.6556902,POINT (-8.6556902 42.3466976)
150,vilagarcía de arousa,5000.0,23,217.0,42.5947625,-8.7669178,POINT (-8.7669178 42.5947625)
151,vilar de duio,0.0,307,0.0,42.9360436,-9.2799984,POINT (-9.2799984 42.9360436)
152,viveiro,5050.0,20,252.0,43.6621866,-7.5955019,POINT (-7.5955019 43.6621866)
153,zarautz,10000.0,14,714.0,43.2834873,-2.1723467,POINT (-2.1723467 43.2834873)
154,zumaia,5050.0,6,842.0,43.296653,-2.2571182,POINT (-2.2571182 43.296653)
0,afife,50.0,4,12.5,41.7785944,-8.8608713,POINT (-8.8608713 41.7785944)
1,albufeira,55100.0,411,134.0632603406326,37.088241,-8.2526339,POINT (-8.2526339 37.088241)
2,aldeia de juzo,0.0,2,0.0,38.72972455,-9.447354766806122,POINT (-9.447354766806122 38.72972455)
